Response ID,Participant #,condition,Block #,"Block total order (cond1 = 1:8, cond2 = 9:16)",Step Presentation Order,Left Top Title,Right Top Title,Left Bottom Title,Right Bottom Title,Stim sentence ENG,"Correct = c, Incorrect = x",RT of stimulus
R_1K0zDGqu01Eq5Rw,37,2,2,10,9,TYPE 2,TYPE 1,None,None,When I have a deadline; I wait till the last minute - 2,C,928
R_1K0zDGqu01Eq5Rw,37,2,2,10,10,TYPE 2,TYPE 1,None,None,Putting something off until tomorrow is not the way I do it - 1,C,1209
R_1K0zDGqu01Eq5Rw,37,2,2,10,11,TYPE 2,TYPE 1,None,None,Whenever I make a plan of action; I follow it  - 1,C,930
R_1K0zDGqu01Eq5Rw,37,2,2,10,12,TYPE 2,TYPE 1,None,None,I get stuck in neutral even though I know how important it I to get started - 2,X,1168
R_1K0zDGqu01Eq5Rw,37,2,2,10,13,TYPE 2,TYPE 1,None,None,I always finish important jobs with time to spare - 1,C,4609
R_1K0zDGqu01Eq5Rw,37,2,2,10,14,TYPE 2,TYPE 1,None,None,I promise myself I'll do something and then drag my feet - 2,C,2179
R_1K0zDGqu01Eq5Rw,37,2,2,10,1,TYPE 2,TYPE 1,None,None,I am an incurable time waster - 2,C,1749
R_1K0zDGqu01Eq5Rw,37,2,2,10,2,TYPE 2,TYPE 1,None,None,Putting something off until tomorrow is not the way I do it - 1,C,629
R_1K0zDGqu01Eq5Rw,37,2,2,10,3,TYPE 2,TYPE 1,None,None,I get stuck in neutral even though I know how important it I to get started - 2,C,10
R_1K0zDGqu01Eq5Rw,37,2,2,10,4,TYPE 2,TYPE 1,None,None,I needlessly delay finishing jobs; even when they’re important - 2,X,168
R_1K0zDGqu01Eq5Rw,37,2,2,10,5,TYPE 2,TYPE 1,None,None,I always finish important jobs with time to spare - 1,C,129
R_1K0zDGqu01Eq5Rw,37,2,2,10,6,TYPE 2,TYPE 1,None,None,I promise myself I'll do something and then drag my feet - 2,C,9
R_1K0zDGqu01Eq5Rw,37,2,2,10,7,TYPE 2,TYPE 1,None,None,I put the necessary time into even boring tasks - 1,C,128
R_1K0zDGqu01Eq5Rw,37,2,2,10,8,TYPE 2,TYPE 1,None,None,I get right to work; even on life's unpleasant chores  - 1,X,139
R_1K0zDGqu01Eq5Rw,37,2,2,10,9,TYPE 2,TYPE 1,None,None,When I have a deadline; I wait till the last minute - 2,C,50
R_1K0zDGqu01Eq5Rw,37,2,2,10,10,TYPE 2,TYPE 1,None,None,Putting something off until tomorrow is not the way I do it - 1,C,79
R_1K0zDGqu01Eq5Rw,37,2,2,10,11,TYPE 2,TYPE 1,None,None,Whenever I make a plan of action; I follow it  - 1,X,134
R_1K0zDGqu01Eq5Rw,37,2,2,10,12,TYPE 2,TYPE 1,None,None,I get stuck in neutral even though I know how important it I to get started - 2,C,115
R_1K0zDGqu01Eq5Rw,37,2,2,10,13,TYPE 2,TYPE 1,None,None,I always finish important jobs with time to spare - 1,C,19
R_1K0zDGqu01Eq5Rw,37,2,2,10,14,TYPE 2,TYPE 1,None,None,I promise myself I'll do something and then drag my feet - 2,C,129
R_1K0zDGqu01Eq5Rw,37,2,2,10,15,TYPE 2,TYPE 1,None,None,I needlessly delay finishing jobs; even when they’re important - 2,X,169
R_1K0zDGqu01Eq5Rw,37,2,2,10,16,TYPE 2,TYPE 1,None,None,I get right to work; even on life's unpleasant chores  - 1,C,129
R_1K0zDGqu01Eq5Rw,37,2,2,10,17,TYPE 2,TYPE 1,None,None,When I have a deadline; I wait till the last minute - 2,C,39
R_1K0zDGqu01Eq5Rw,37,2,2,10,18,TYPE 2,TYPE 1,None,None,I am an incurable time waster - 2,X,169
R_1K0zDGqu01Eq5Rw,37,2,2,10,19,TYPE 2,TYPE 1,None,None,I put the necessary time into even boring tasks - 1,C,78
R_1K0zDGqu01Eq5Rw,37,2,2,10,20,TYPE 2,TYPE 1,None,None,Whenever I make a plan of action; I follow it  - 1,X,170
R_1K0zDGqu01Eq5Rw,37,2,2,10,INSTRUCTIONS OF CURRENT BLOCK,TYPE 2,TYPE 1,None,None,INSTRUCTIONS OF CURRENT BLOCK,Total block time (time spent on page: =>,117089
R_1K0zDGqu01Eq5Rw,37,2,3,11,1,TYPE 2,TYPE 1,None,None,I put the necessary time into even boring tasks,X,468
R_1K0zDGqu01Eq5Rw,37,2,3,11,2,TYPE 2,TYPE 1,None,None,Whenever I make a plan of action; I follow it ,X,134
R_1K0zDGqu01Eq5Rw,37,2,3,11,3,TYPE 2,TYPE 1,None,None,When I have a deadline; I wait till the last minute,X,155
R_1K0zDGqu01Eq5Rw,37,2,3,11,4,TYPE 2,TYPE 1,None,None,Putting something off until tomorrow is not the way I do it,C,119
R_1K0zDGqu01Eq5Rw,37,2,3,11,5,TYPE 2,TYPE 1,None,None,I get right to work; even on life's unpleasant chores ,X,140
R_1K0zDGqu01Eq5Rw,37,2,3,11,6,TYPE 2,TYPE 1,None,None,I promise myself I'll do something and then drag my feet,C,60
R_1K0zDGqu01Eq5Rw,37,2,3,11,7,TYPE 2,TYPE 1,None,None,I am an incurable time waster,X,169
R_1K0zDGqu01Eq5Rw,37,2,3,11,8,TYPE 2,TYPE 1,None,None,I always finish important jobs with time to spare,C,50
R_1K0zDGqu01Eq5Rw,37,2,3,11,9,TYPE 2,TYPE 1,None,None,I needlessly delay finishing jobs; even when they’re important,C,120
R_1K0zDGqu01Eq5Rw,37,2,3,11,10,TYPE 2,TYPE 1,None,None,I get stuck in neutral even though I know how important it I to get started,X,159
R_1K0zDGqu01Eq5Rw,37,2,3,11,11,TYPE 2,TYPE 1,None,None,I promise myself I'll do something and then drag my feet,X,170
R_1K0zDGqu01Eq5Rw,37,2,3,11,12,TYPE 2,TYPE 1,None,None,I get right to work; even on life's unpleasant chores ,C,110
R_1K0zDGqu01Eq5Rw,37,2,3,11,13,TYPE 2,TYPE 1,None,None,Whenever I make a plan of action; I follow it ,X,139
R_1K0zDGqu01Eq5Rw,37,2,3,11,14,TYPE 2,TYPE 1,None,None,I needlessly delay finishing jobs; even when they’re important,C,105
R_1K0zDGqu01Eq5Rw,37,2,3,11,15,TYPE 2,TYPE 1,None,None,Putting something off until tomorrow is not the way I do it,C,45
R_1K0zDGqu01Eq5Rw,37,2,3,11,16,TYPE 2,TYPE 1,None,None,I am an incurable time waster,C,129
R_1K0zDGqu01Eq5Rw,37,2,3,11,17,TYPE 2,TYPE 1,None,None,I put the necessary time into even boring tasks,C,9
R_1K0zDGqu01Eq5Rw,37,2,3,11,18,TYPE 2,TYPE 1,None,None,I get stuck in neutral even though I know how important it I to get started,X,169
R_1K0zDGqu01Eq5Rw,37,2,3,11,19,TYPE 2,TYPE 1,None,None,When I have a deadline; I wait till the last minute,X,170
R_1K0zDGqu01Eq5Rw,37,2,3,11,20,TYPE 2,TYPE 1,None,None,I always finish important jobs with time to spare,C,119
R_1K0zDGqu01Eq5Rw,37,2,3,11,21,TYPE 2,TYPE 1,None,None,I get stuck in neutral even though I know how important it I to get started,C,79
R_1K0zDGqu01Eq5Rw,37,2,3,11,22,TYPE 2,TYPE 1,None,None,When I have a deadline; I wait till the last minute,X,169
R_1K0zDGqu01Eq5Rw,37,2,3,11,23,TYPE 2,TYPE 1,None,None,Whenever I make a plan of action; I follow it ,C,39
R_1K0zDGqu01Eq5Rw,37,2,3,11,24,TYPE 2,TYPE 1,None,None,I am an incurable time waster,C,139
R_1K0zDGqu01Eq5Rw,37,2,3,11,25,TYPE 2,TYPE 1,None,None,I put the necessary time into even boring tasks,C,1
R_1K0zDGqu01Eq5Rw,37,2,3,11,26,TYPE 2,TYPE 1,None,None,I needlessly delay finishing jobs; even when they’re important,X,188
R_1K0zDGqu01Eq5Rw,37,2,3,11,27,TYPE 2,TYPE 1,None,None,I promise myself I'll do something and then drag my feet,X,169
R_1K0zDGqu01Eq5Rw,37,2,3,11,28,TYPE 2,TYPE 1,None,None,I get right to work; even on life's unpleasant chores ,C,100
R_1K0zDGqu01Eq5Rw,37,2,3,11,29,TYPE 2,TYPE 1,None,None,Putting something off until tomorrow is not the way I do it,X,159
R_1K0zDGqu01Eq5Rw,37,2,3,11,30,TYPE 2,TYPE 1,None,None,I always finish important jobs with time to spare,X,150
R_1K0zDGqu01Eq5Rw,37,2,3,11,31,TYPE 2,TYPE 1,None,None,I get stuck in neutral even though I know how important it I to get started,C,119
R_1K0zDGqu01Eq5Rw,37,2,3,11,32,TYPE 2,TYPE 1,None,None,When I have a deadline; I wait till the last minute,X,209
R_1K0zDGqu01Eq5Rw,37,2,3,11,33,TYPE 2,TYPE 1,None,None,Whenever I make a plan of action; I follow it ,C,140
R_1K0zDGqu01Eq5Rw,37,2,3,11,34,TYPE 2,TYPE 1,None,None,I am an incurable time waster,C,39
R_1K0zDGqu01Eq5Rw,37,2,3,11,35,TYPE 2,TYPE 1,None,None,I put the necessary time into even boring tasks,C,119
R_1K0zDGqu01Eq5Rw,37,2,3,11,36,TYPE 2,TYPE 1,None,None,I needlessly delay finishing jobs; even when they’re important,C,79
R_1K0zDGqu01Eq5Rw,37,2,3,11,37,TYPE 2,TYPE 1,None,None,I promise myself I'll do something and then drag my feet,X,189
R_1K0zDGqu01Eq5Rw,37,2,3,11,38,TYPE 2,TYPE 1,None,None,I get right to work; even on life's unpleasant chores ,C,49
R_1K0zDGqu01Eq5Rw,37,2,3,11,39,TYPE 2,TYPE 1,None,None,Putting something off until tomorrow is not the way I do it,X,159
R_1K0zDGqu01Eq5Rw,37,2,3,11,40,TYPE 2,TYPE 1,None,None,I always finish important jobs with time to spare,C,160
R_1K0zDGqu01Eq5Rw,37,2,3,11,INSTRUCTIONS OF CURRENT BLOCK,TYPE 2,TYPE 1,None,None,INSTRUCTIONS OF CURRENT BLOCK,Total block time (time spent on page: =>,6888
R_1K0zDGqu01Eq5Rw,37,2,4,12,1,TYPE 2,TYPE 1,FALSE,TRUTH,I always finish important jobs with time to spare,X,489
R_1K0zDGqu01Eq5Rw,37,2,4,12,2,TYPE 2,TYPE 1,FALSE,TRUTH,I am reading what is on the screen,X,150
R_1K0zDGqu01Eq5Rw,37,2,4,12,3,TYPE 2,TYPE 1,FALSE,TRUTH,Whenever I make a plan of action; I follow it ,X,170
R_1K0zDGqu01Eq5Rw,37,2,4,12,4,TYPE 2,TYPE 1,FALSE,TRUTH,I am at the beach,X,170
R_1K0zDGqu01Eq5Rw,37,2,4,12,5,TYPE 2,TYPE 1,FALSE,TRUTH,I get right to work; even on life's unpleasant chores ,C,130
R_1K0zDGqu01Eq5Rw,37,2,4,12,6,TYPE 2,TYPE 1,FALSE,TRUTH,I am infront of a computer right now,X,149
R_1K0zDGqu01Eq5Rw,37,2,4,12,7,TYPE 2,TYPE 1,FALSE,TRUTH,Putting something off until tomorrow is not the way I do it,X,160
R_1K0zDGqu01Eq5Rw,37,2,4,12,8,TYPE 2,TYPE 1,FALSE,TRUTH,I am doing an experiment in psychology,X,160
R_1K0zDGqu01Eq5Rw,37,2,4,12,9,TYPE 2,TYPE 1,FALSE,TRUTH,I needlessly delay finishing jobs; even when they’re important,C,99
R_1K0zDGqu01Eq5Rw,37,2,4,12,10,TYPE 2,TYPE 1,FALSE,TRUTH,I am buying groceries now  ,X,179
R_1K0zDGqu01Eq5Rw,37,2,4,12,11,TYPE 2,TYPE 1,FALSE,TRUTH,I put the necessary time into even boring tasks,C,30
R_1K0zDGqu01Eq5Rw,37,2,4,12,12,TYPE 2,TYPE 1,FALSE,TRUTH,I am playing an electric guitar,X,159
R_1K0zDGqu01Eq5Rw,37,2,4,12,13,TYPE 2,TYPE 1,FALSE,TRUTH,I promise myself I'll do something and then drag my feet,X,180
R_1K0zDGqu01Eq5Rw,37,2,4,12,14,TYPE 2,TYPE 1,FALSE,TRUTH,I am climbing on a mountain,X,180
R_1K0zDGqu01Eq5Rw,37,2,4,12,15,TYPE 2,TYPE 1,FALSE,TRUTH,When I have a deadline; I wait till the last minute,X,190
R_1K0zDGqu01Eq5Rw,37,2,4,12,16,TYPE 2,TYPE 1,FALSE,TRUTH,I am playing soccer right now,X,180
R_1K0zDGqu01Eq5Rw,37,2,4,12,17,TYPE 2,TYPE 1,FALSE,TRUTH,I get stuck in neutral even though I know how important it I to get started,X,169
R_1K0zDGqu01Eq5Rw,37,2,4,12,18,TYPE 2,TYPE 1,FALSE,TRUTH,I am watching the computer screen,C,10
R_1K0zDGqu01Eq5Rw,37,2,4,12,19,TYPE 2,TYPE 1,FALSE,TRUTH,I am an incurable time waster,X,189
R_1K0zDGqu01Eq5Rw,37,2,4,12,20,TYPE 2,TYPE 1,FALSE,TRUTH,My fingers are on the keyboard,C,110
R_1K0zDGqu01Eq5Rw,37,2,4,12,INSTRUCTIONS OF CURRENT BLOCK,TYPE 2,TYPE 1,FALSE,TRUTH,INSTRUCTIONS OF CURRENT BLOCK,Total block time (time spent on page: =>,5104
R_1K0zDGqu01Eq5Rw,37,2,5,13,1,TYPE 2,TYPE 1,FALSE,TRUTH,I always finish important jobs with time to spare,X,589
R_1K0zDGqu01Eq5Rw,37,2,5,13,2,TYPE 2,TYPE 1,FALSE,TRUTH,I am infront of a computer right now,X,145
R_1K0zDGqu01Eq5Rw,37,2,5,13,3,TYPE 2,TYPE 1,FALSE,TRUTH,I put the necessary time into even boring tasks,C,143
R_1K0zDGqu01Eq5Rw,37,2,5,13,4,TYPE 2,TYPE 1,FALSE,TRUTH,I am at the beach,C,10
R_1K0zDGqu01Eq5Rw,37,2,5,13,5,TYPE 2,TYPE 1,FALSE,TRUTH,Putting something off until tomorrow is not the way I do it,C,129
R_1K0zDGqu01Eq5Rw,37,2,5,13,6,TYPE 2,TYPE 1,FALSE,TRUTH,I am climbing on a mountain,C,40
R_1K0zDGqu01Eq5Rw,37,2,5,13,7,TYPE 2,TYPE 1,FALSE,TRUTH,When I have a deadline; I wait till the last minute,X,178
R_1K0zDGqu01Eq5Rw,37,2,5,13,8,TYPE 2,TYPE 1,FALSE,TRUTH,My fingers are on the keyboard,C,71
R_1K0zDGqu01Eq5Rw,37,2,5,13,9,TYPE 2,TYPE 1,FALSE,TRUTH,I get stuck in neutral even though I know how important it I to get started,C,109
R_1K0zDGqu01Eq5Rw,37,2,5,13,10,TYPE 2,TYPE 1,FALSE,TRUTH,I am doing an experiment in psychology,C,29
R_1K0zDGqu01Eq5Rw,37,2,5,13,11,TYPE 2,TYPE 1,FALSE,TRUTH,I get right to work; even on life's unpleasant chores ,X,149
R_1K0zDGqu01Eq5Rw,37,2,5,13,12,TYPE 2,TYPE 1,FALSE,TRUTH,I am reading what is on the screen,C,150
R_1K0zDGqu01Eq5Rw,37,2,5,13,13,TYPE 2,TYPE 1,FALSE,TRUTH,I am an incurable time waster,C,29
R_1K0zDGqu01Eq5Rw,37,2,5,13,14,TYPE 2,TYPE 1,FALSE,TRUTH,I am buying groceries now  ,X,190
R_1K0zDGqu01Eq5Rw,37,2,5,13,15,TYPE 2,TYPE 1,FALSE,TRUTH,I promise myself I'll do something and then drag my feet,X,180
R_1K0zDGqu01Eq5Rw,37,2,5,13,16,TYPE 2,TYPE 1,FALSE,TRUTH,I am watching the computer screen,C,39
R_1K0zDGqu01Eq5Rw,37,2,5,13,17,TYPE 2,TYPE 1,FALSE,TRUTH,I needlessly delay finishing jobs; even when they’re important,C,119
R_1K0zDGqu01Eq5Rw,37,2,5,13,18,TYPE 2,TYPE 1,FALSE,TRUTH,I am playing soccer right now,X,169
R_1K0zDGqu01Eq5Rw,37,2,5,13,19,TYPE 2,TYPE 1,FALSE,TRUTH,Whenever I make a plan of action; I follow it ,C,10
R_1K0zDGqu01Eq5Rw,37,2,5,13,20,TYPE 2,TYPE 1,FALSE,TRUTH,I am playing an electric guitar,X,168
R_1K0zDGqu01Eq5Rw,37,2,5,13,21,TYPE 2,TYPE 1,FALSE,TRUTH,I put the necessary time into even boring tasks,C,140
R_1K0zDGqu01Eq5Rw,37,2,5,13,22,TYPE 2,TYPE 1,FALSE,TRUTH,I am climbing on a mountain,C,59
R_1K0zDGqu01Eq5Rw,37,2,5,13,23,TYPE 2,TYPE 1,FALSE,TRUTH,When I have a deadline; I wait till the last minute,X,189
R_1K0zDGqu01Eq5Rw,37,2,5,13,24,TYPE 2,TYPE 1,FALSE,TRUTH,I am watching the computer screen,C,69
R_1K0zDGqu01Eq5Rw,37,2,5,13,25,TYPE 2,TYPE 1,FALSE,TRUTH,I get right to work; even on life's unpleasant chores ,X,149
R_1K0zDGqu01Eq5Rw,37,2,5,13,26,TYPE 2,TYPE 1,FALSE,TRUTH,I am buying groceries now  ,X,180
R_1K0zDGqu01Eq5Rw,37,2,5,13,27,TYPE 2,TYPE 1,FALSE,TRUTH,I promise myself I'll do something and then drag my feet,X,200
R_1K0zDGqu01Eq5Rw,37,2,5,13,28,TYPE 2,TYPE 1,FALSE,TRUTH,My fingers are on the keyboard,C,96
R_1K0zDGqu01Eq5Rw,37,2,5,13,29,TYPE 2,TYPE 1,FALSE,TRUTH,I always finish important jobs with time to spare,X,175
R_1K0zDGqu01Eq5Rw,37,2,5,13,30,TYPE 2,TYPE 1,FALSE,TRUTH,I am playing an electric guitar,C,127
R_1K0zDGqu01Eq5Rw,37,2,5,13,31,TYPE 2,TYPE 1,FALSE,TRUTH,I am an incurable time waster,X,208
R_1K0zDGqu01Eq5Rw,37,2,5,13,32,TYPE 2,TYPE 1,FALSE,TRUTH,I am reading what is on the screen,C,150
R_1K0zDGqu01Eq5Rw,37,2,5,13,33,TYPE 2,TYPE 1,FALSE,TRUTH,I get stuck in neutral even though I know how important it I to get started,C,49
R_1K0zDGqu01Eq5Rw,37,2,5,13,34,TYPE 2,TYPE 1,FALSE,TRUTH,I am playing soccer right now,X,229
R_1K0zDGqu01Eq5Rw,37,2,5,13,35,TYPE 2,TYPE 1,FALSE,TRUTH,I needlessly delay finishing jobs; even when they’re important,X,199
R_1K0zDGqu01Eq5Rw,37,2,5,13,36,TYPE 2,TYPE 1,FALSE,TRUTH,I am doing an experiment in psychology,C,40
R_1K0zDGqu01Eq5Rw,37,2,5,13,37,TYPE 2,TYPE 1,FALSE,TRUTH,Whenever I make a plan of action; I follow it ,X,175
R_1K0zDGqu01Eq5Rw,37,2,5,13,38,TYPE 2,TYPE 1,FALSE,TRUTH,I am infront of a computer right now,C,153
R_1K0zDGqu01Eq5Rw,37,2,5,13,39,TYPE 2,TYPE 1,FALSE,TRUTH,Putting something off until tomorrow is not the way I do it,X,189
R_1K0zDGqu01Eq5Rw,37,2,5,13,40,TYPE 2,TYPE 1,FALSE,TRUTH,I am at the beach,C,69
R_1K0zDGqu01Eq5Rw,37,2,5,13,INSTRUCTIONS OF CURRENT BLOCK,TYPE 2,TYPE 1,FALSE,TRUTH,INSTRUCTIONS OF CURRENT BLOCK,Total block time (time spent on page: =>,7336
R_1K0zDGqu01Eq5Rw,37,2,6,14,1,TYPE 1,TYPE 2,None,None,I put the necessary time into even boring tasks,X,2815
R_1K0zDGqu01Eq5Rw,37,2,6,14,2,TYPE 1,TYPE 2,None,None,Whenever I make a plan of action; I follow it ,X,183
R_1K0zDGqu01Eq5Rw,37,2,6,14,3,TYPE 1,TYPE 2,None,None,When I have a deadline; I wait till the last minute,C,40
R_1K0zDGqu01Eq5Rw,37,2,6,14,4,TYPE 1,TYPE 2,None,None,Putting something off until tomorrow is not the way I do it,C,128
R_1K0zDGqu01Eq5Rw,37,2,6,14,5,TYPE 1,TYPE 2,None,None,I get right to work; even on life's unpleasant chores ,X,179
R_1K0zDGqu01Eq5Rw,37,2,6,14,6,TYPE 1,TYPE 2,None,None,I promise myself I'll do something and then drag my feet,C,6
R_1K0zDGqu01Eq5Rw,37,2,6,14,7,TYPE 1,TYPE 2,None,None,I am an incurable time waster,C,144
R_1K0zDGqu01Eq5Rw,37,2,6,14,8,TYPE 1,TYPE 2,None,None,I always finish important jobs with time to spare,C,30
R_1K0zDGqu01Eq5Rw,37,2,6,14,9,TYPE 1,TYPE 2,None,None,I needlessly delay finishing jobs; even when they’re important,C,131
R_1K0zDGqu01Eq5Rw,37,2,6,14,10,TYPE 1,TYPE 2,None,None,I get stuck in neutral even though I know how important it I to get started,X,149
R_1K0zDGqu01Eq5Rw,37,2,6,14,11,TYPE 1,TYPE 2,None,None,I promise myself I'll do something and then drag my feet,X,150
R_1K0zDGqu01Eq5Rw,37,2,6,14,12,TYPE 1,TYPE 2,None,None,I get right to work; even on life's unpleasant chores ,C,70
R_1K0zDGqu01Eq5Rw,37,2,6,14,13,TYPE 1,TYPE 2,None,None,Whenever I make a plan of action; I follow it ,X,188
R_1K0zDGqu01Eq5Rw,37,2,6,14,14,TYPE 1,TYPE 2,None,None,I needlessly delay finishing jobs; even when they’re important,C,41
R_1K0zDGqu01Eq5Rw,37,2,6,14,15,TYPE 1,TYPE 2,None,None,Putting something off until tomorrow is not the way I do it,C,139
R_1K0zDGqu01Eq5Rw,37,2,6,14,16,TYPE 1,TYPE 2,None,None,I am an incurable time waster,C,11
R_1K0zDGqu01Eq5Rw,37,2,6,14,17,TYPE 1,TYPE 2,None,None,I put the necessary time into even boring tasks,X,179
R_1K0zDGqu01Eq5Rw,37,2,6,14,18,TYPE 1,TYPE 2,None,None,I get stuck in neutral even though I know how important it I to get started,C,129
R_1K0zDGqu01Eq5Rw,37,2,6,14,19,TYPE 1,TYPE 2,None,None,When I have a deadline; I wait till the last minute,X,159
R_1K0zDGqu01Eq5Rw,37,2,6,14,20,TYPE 1,TYPE 2,None,None,I always finish important jobs with time to spare,C,60
R_1K0zDGqu01Eq5Rw,37,2,6,14,21,TYPE 1,TYPE 2,None,None,I get stuck in neutral even though I know how important it I to get started,C,99
R_1K0zDGqu01Eq5Rw,37,2,6,14,22,TYPE 1,TYPE 2,None,None,When I have a deadline; I wait till the last minute,X,159
R_1K0zDGqu01Eq5Rw,37,2,6,14,23,TYPE 1,TYPE 2,None,None,Whenever I make a plan of action; I follow it ,C,119
R_1K0zDGqu01Eq5Rw,37,2,6,14,24,TYPE 1,TYPE 2,None,None,I am an incurable time waster,C,40
R_1K0zDGqu01Eq5Rw,37,2,6,14,25,TYPE 1,TYPE 2,None,None,I put the necessary time into even boring tasks,C,159
R_1K0zDGqu01Eq5Rw,37,2,6,14,26,TYPE 1,TYPE 2,None,None,I needlessly delay finishing jobs; even when they’re important,C,1
R_1K0zDGqu01Eq5Rw,37,2,6,14,27,TYPE 1,TYPE 2,None,None,I promise myself I'll do something and then drag my feet,C,154
R_1K0zDGqu01Eq5Rw,37,2,6,14,28,TYPE 1,TYPE 2,None,None,I get right to work; even on life's unpleasant chores ,C,39
R_1K0zDGqu01Eq5Rw,37,2,6,14,29,TYPE 1,TYPE 2,None,None,Putting something off until tomorrow is not the way I do it,X,180
R_1K0zDGqu01Eq5Rw,37,2,6,14,30,TYPE 1,TYPE 2,None,None,I always finish important jobs with time to spare,X,197
R_1K0zDGqu01Eq5Rw,37,2,6,14,31,TYPE 1,TYPE 2,None,None,I get stuck in neutral even though I know how important it I to get started,C,61
R_1K0zDGqu01Eq5Rw,37,2,6,14,32,TYPE 1,TYPE 2,None,None,When I have a deadline; I wait till the last minute,X,169
R_1K0zDGqu01Eq5Rw,37,2,6,14,33,TYPE 1,TYPE 2,None,None,Whenever I make a plan of action; I follow it ,C,161
R_1K0zDGqu01Eq5Rw,37,2,6,14,34,TYPE 1,TYPE 2,None,None,I am an incurable time waster,C,1
R_1K0zDGqu01Eq5Rw,37,2,6,14,35,TYPE 1,TYPE 2,None,None,I put the necessary time into even boring tasks,X,187
R_1K0zDGqu01Eq5Rw,37,2,6,14,36,TYPE 1,TYPE 2,None,None,I needlessly delay finishing jobs; even when they’re important,C,140
R_1K0zDGqu01Eq5Rw,37,2,6,14,37,TYPE 1,TYPE 2,None,None,I promise myself I'll do something and then drag my feet,X,178
